OSEBuildingID,DataYear,PrimaryPropertyType,Address,City,State,ZipCode,TaxParcelIdentificationNumber,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,GHGEmissionsIntensity,PredictedEnergyStar
1,2016,Hotel,405 Olive way,Seattle,WA,98101.0,0659000030,DOWNTOWN,47.6122,-122.33799,1927.0,1.0,12.0,88434,0.0,88434.0,Hotel,Hotel,88434.0,,,,,60.0,84.30000305,189.0,7456910.0,2003882.0,3946027.0,1276453.0,False,Compliant,,2.83,0
2,2016,Hotel,724 Pine street,Seattle,WA,98101.0,0659000220,DOWNTOWN,47.61317,-122.33393,1996.0,1.0,11.0,103566,15064.0,88502.0,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,97.90000153,179.3999939,8664479.0,0.0,3242851.0,5145082.0,False,Compliant,,2.86,0
3,2016,Hotel,1900 5th Avenue,Seattle,WA,98101.0,0659000475,DOWNTOWN,47.61393,-122.3381,1969.0,1.0,41.0,956110,196718.0,759392.0,Hotel,Hotel,756493.0,,,,,43.0,97.69999695,244.1000061,73937112.0,21566554.0,49526664.0,1493800.0,False,Compliant,,2.19,0
5,2016,Hotel,620 STEWART ST,Seattle,WA,98101.0,0659000640,DOWNTOWN,47.61412,-122.33664,1926.0,1.0,10.0,61320,0.0,61320.0,Hotel,Hotel,61320.0,,,,,56.0,113.3000031,224.0,6946800.5,2214446.25,2768924.0,1811213.0,False,Compliant,,4.67,0
8,2016,Hotel,401 LENORA ST,Seattle,WA,98121.0,0659000970,DOWNTOWN,47.61375,-122.34047,1980.0,1.0,18.0,175580,62000.0,113580.0,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,118.6999969,215.6000061,14656503.0,0.0,5368607.0,8803998.0,False,Compliant,,2.88,0
9,2016,Other,810 Virginia St,Seattle,WA,98101.0,0660000560,DOWNTOWN,47.61623,-122.33657,1999.0,1.0,2.0,97288,37198.0,60090.0,Police Station,Police Station,88830.0,,,,,,141.6000061,320.5,12581712.0,0.0,7371434.0,4715182.0,False,Compliant,,3.1,0
10,2016,Hotel,1619 9th Avenue,Seattle,WA,98101.0,0660000825,DOWNTOWN,47.6139,-122.33283,1926.0,1.0,11.0,83008,0.0,83008.0,Hotel,Hotel,81352.0,,,,,27.0,74.5,154.6999969,6062767.5,0.0,2811215.0,2947580.0,False,Compliant,,2.12,0
11,2016,Other,911 Pine St,Seattle,WA,98101.0,0660000955,DOWNTOWN,47.61327,-122.33136,1926.0,1.0,8.0,102761,0.0,102761.0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,57.825,68.80000305,152.3000031,7067881.5,2276286.5,3636655.0,385189.0,False,Compliant,,2.16,1
12,2016,Hotel,612 2nd Ave,Seattle,WA,98104.0,0939000080,DOWNTOWN,47.60294,-122.33263,1904.0,1.0,15.0,163984,0.0,163984.0,Hotel,Hotel,163984.0,,,,,43.0,86.59999847,187.1999969,14194054.0,0.0,7297919.0,6425900.0,False,Compliant,,2.39,0
13,2016,Mid-Rise Multifamily,607 - 3rd Ave.,Seattle,WA,98104.0,0939000105,DOWNTOWN,47.60284,-122.33184,1910.0,1.0,6.0,63712,1496.0,62216.0,Multifamily Housing,Multifamily Housing,56132.0,,,,,1.0,85.59999847,187.3999939,4807679.5,1039735.188,2532015.0,1002026.0,False,Compliant,,2.37,0
15,2016,Hotel,1101 4th Avenue,Seattle,WA,98101.0,0942000145,DOWNTOWN,47.60695,-122.33414,1969.0,1.0,11.0,153163,19279.0,133884.0,Hotel,Hotel,133884.0,,,,,30.0,124.3000031,233.0,16646930.0,5237165.5,6187627.0,4591850.0,False,Compliant,,4.51,0
16,2016,Hotel,1112 Fourth Avenue,Seattle,WA,98101.0,0942000165,DOWNTOWN,47.60713,-122.33323,1998.0,1.0,25.0,333176,61161.0,272015.0,Hotel,Hotel,336640.0,,,,,36.0,80.40000153,199.3999939,27070114.0,5999360.5,18083049.0,2858700.0,False,Compliant,,2.22,0
17,2016,Hotel,400 Spring Street,Seattle,WA,98104.0,0942000210,DOWNTOWN,47.60699,-122.33346,1928.0,1.0,9.0,65009,0.0,65009.0,Hotel,Hotel,65009.0,,,,,48.0,97.80000305,149.8000031,6358719.5,1656352.5,1343000.0,3596705.0,False,Compliant,,5.05,0
18,2016,Hotel,1113 6th Ave,Seattle,WA,98101.0,0942000235,DOWNTOWN,47.60809,-122.33212,1980.0,1.0,33.0,315952,57600.0,258352.0,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,58.0,76.19999695,180.6999969,22524948.0,4337738.5,13904183.0,4083440.0,False,Compliant,,2.05,0
19,2016,Hotel,1100 5th Avenue,Seattle,WA,98101.0,0942000265,DOWNTOWN,47.60755,-122.33244,1922.0,1.0,11.0,92190,25200.0,66990.0,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,35.0,165.8999939,303.8999939,11179203.0,4870847.5,3832369.0,2046793.0,False,Compliant,,5.55,0
21,2016,Other,1000 Fourth Avenue,Seattle,WA,98154.0,0942000275,DOWNTOWN,47.60649,-122.33297,2004.0,1.0,11.0,412000,57000.0,355000.0,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,73.862,51.09999847,156.0,18706912.0,737559.5,17851297.0,0.0,False,Compliant,,0.44,1
22,2016,Other,909 4th Avenue,Seattle,WA,98104.0,0942000350,DOWNTOWN,47.60546,-122.33279,1930.0,1.0,6.0,103911,0.0,103911.0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,63.684,78.40000153,159.6000061,10192124.0,4592347.5,4453868.0,910180.0,False,Compliant,,4.18,1
23,2016,Hotel,515 Madison Street,Seattle,WA,98104.0,0942000430,DOWNTOWN,47.60681,-122.33078,1983.0,1.0,28.0,416281,85000.0,331281.0,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,31.0,98.59999847,232.8000031,34351920.0,0.0,21225277.0,12331475.0,False,Compliant,,1.93,0
24,2016,Mixed Use Property,820 4th Ave.,Seattle,WA,98104.0,0942000510,DOWNTOWN,47.60515,-122.33159,1907.0,1.0,5.0,57452,0.0,57452.0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,34.794,137.1000061,285.0,7877219.0,1776201.875,3764791.0,2065091.0,False,Compliant,,4.75,1
25,2016,Hotel,700 3rd Ave,Seattle,WA,98104.0,0942000610,DOWNTOWN,47.60376,-122.33194,1916.0,1.0,10.0,104352,0.0,104352.0,Hotel,Hotel,104352.0,,,,,39.0,97.30000305,225.5,10154608.0,3430862.0,5908370.0,815376.0,False,Compliant,,3.35,0
26,2016,Other,516 3RD AVE,Seattle,WA,98104.0,0942000860,DOWNTOWN,47.60265,-122.33051,1916.0,1.0,10.0,540360,0.0,540360.0,Courthouse,Courthouse,537150.0,,,,,76.0,87.5,186.6999969,47023088.0,0.0,24357833.0,20626631.0,False,Compliant,,2.34,0
27,2016,Other,500 5TH AVE,Seattle,WA,98104.0,0942001010,DOWNTOWN,47.60378,-122.32842,1985.0,1.0,19.0,385274,0.0,385274.0,Other,Other,385274.0,,,,,36.877,128.6000061,232.8999939,49539212.0,0.0,18257661.0,29602150.0,False,Compliant,,4.41,1
28,2016,K-12 School,5149 S. Graham St.,Seattle,WA,98118.0,1102000138,SOUTHEAST,47.54576,-122.26853,1961.0,1.0,2.0,56228,0.0,56228.0,K-12 School,K-12 School,58916.0,,,,,95.0,29.10000038,64.59999847,1713623.5,0.0,936955.0,602523.0,True,Error - Correct Default Data,,0.69,0
